run,midpoint_sigmoid,final_density,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
1,0.5,0.076475,2.8739946380697052,0.015183355466855702,0.0026809651474530827,0.21318166730499163
2,0.5,0.085875,2.943127962085308,0.013985920830941152,0.0023696682464454982,0.2621175370353811
3,0.5,0.080725,2.863741339491917,0.019262690617507537,0.0023094688221709,0.2332899754895453
4,0.5,0.0813,2.9867256637168142,0.016042902585099873,0.0022123893805309734,0.22510456934760142
5,0.5,0.085775,3.0707692307692307,0.016820230566360596,0.0030769230769230765,0.2951213316927603
6,0.5,0.08345,2.9375,0.02089858878098796,0.002403846153846153,0.22079241680305509
7,0.5,0.08015,2.9423558897243107,0.02154342224306258,0.0025062656641604004,0.2347946081365636
8,0.5,0.086275,2.8861985472154963,0.022049696031047273,0.002421307506053268,0.20585219700808974
9,0.5,0.085175,3.002754820936639,0.016084088294074782,0.0027548209366391185,0.25091383211217916
10,0.5,0.08585,3.1297297297297297,0.014494863368140144,0.0027027027027027033,0.301295020354219
1,0.7368421052631579,0.068825,2.8587570621468927,0.020075693920042614,0.0028248587570621464,0.22641632036855455
2,0.7368421052631579,0.0732,3.1543624161073827,0.01849645557699249,0.0033557046979865762,0.3285733561740273
3,0.7368421052631579,0.06635,2.895,0.01466675482676538,0.0024999999999999996,0.23686877394636022
4,0.7368421052631579,0.070475,2.9526184538653366,0.01803748773429832,0.002493765586034912,0.23154322906007516
5,0.7368421052631579,0.065175,3.0294784580498866,0.014706546662290236,0.0022675736961451243,0.2642010805416857
6,0.7368421052631579,0.062975,2.7506426735218508,0.02224360187256152,0.002570694087403599,0.1992772400347066
7,0.7368421052631579,0.07135,2.892230576441103,0.020454253236219536,0.0025062656641604004,0.2222674454731871
8,0.7368421052631579,0.072175,2.9664804469273744,0.018378275922760055,0.002793296089385474,0.24911057886433932
9,0.7368421052631579,0.068175,2.9453551912568305,0.015549997573352617,0.0027322404371584695,0.23911389692489005
10,0.7368421052631579,0.07135,2.7857142857142856,0.02122802667332248,0.0023809523809523807,0.2075783824640967
1,0.9736842105263157,0.063725,3.1242937853107344,0.01609543846783967,0.0028248587570621464,0.30436910682267443
2,0.9736842105263157,0.057075,3.032258064516129,0.01735479579386903,0.002481389578163772,0.2438726359029965
3,0.9736842105263157,0.055475,2.7661691542288556,0.02006656244959739,0.002487562189054726,0.19059502014223811
4,0.9736842105263157,0.0562,2.774193548387097,0.022817209001019103,0.0026881720430107525,0.2203880800583627
5,0.9736842105263157,0.057625,2.8756756756756756,0.02115715928017095,0.002702702702702703,0.24977006857603865
6,0.9736842105263157,0.0623,3.082294264339152,0.015290126813292582,0.0024937655860349122,0.29014004090166584
7,0.9736842105263157,0.05935,2.9408866995073892,0.014457956468881695,0.0024630541871921187,0.2362420588320024
8,0.9736842105263157,0.056475,2.6837606837606836,0.021529598492349214,0.002849002849002849,0.18221012487770666
9,0.9736842105263157,0.057125,2.699751861042184,0.018623859964177925,0.0024813895781637717,0.18201407506360265
10,0.9736842105263157,0.059825,2.9479166666666665,0.015063391681361893,0.0026041666666666657,0.24673753792057354
1,1.2105263157894737,0.053675,2.902702702702703,0.019559962932179265,0.002702702702702703,0.2330177270635286
2,1.2105263157894737,0.052575,2.7845303867403315,0.022102125770955446,0.002762430939226518,0.21938770338081007
3,1.2105263157894737,0.0512,3.0398009950248754,0.016348184265703898,0.0024875621890547255,0.24464437734999364
4,1.2105263157894737,0.04685,2.8359133126934983,0.020652115505198226,0.0030959752321981426,0.21523338820860766
5,1.2105263157894737,0.050175,2.8877005347593583,0.020548670593692493,0.0026737967914438492,0.23400261589961682
6,1.2105263157894737,0.054225,3.049107142857143,0.011509147215331191,0.002232142857142857,0.26007096856433454
7,1.2105263157894737,0.05305,2.8526315789473684,0.02050152499395658,0.0026315789473684206,0.2338157549656991
8,1.2105263157894737,0.050425,2.796833773087071,0.021613051000731815,0.002638522427440633,0.1972346835886319
9,1.2105263157894737,0.048675,2.888283378746594,0.01632458335143541,0.002724795640326975,0.24200280084189044
10,1.2105263157894737,0.0478,2.8743718592964824,0.019037795138069816,0.002512562814070351,0.23303668469574335
1,1.4473684210526314,0.0514,2.851948051948052,0.016123951657567845,0.0025974025974025974,0.2160619343939563
2,1.4473684210526314,0.0405,2.7238605898123325,0.023175899768283693,0.0026809651474530827,0.18146963014211986
3,1.4473684210526314,0.044675,2.770083102493075,0.023297076194860895,0.002770083102493075,0.19303328335324052
4,1.4473684210526314,0.0472,2.9156626506024095,0.017648015848066804,0.003012048192771083,0.24352944009922733
5,1.4473684210526314,0.0452,2.725060827250608,0.020106937563941336,0.0024330900243309003,0.16241969409478507
6,1.4473684210526314,0.043575,2.7329842931937174,0.019794973272320014,0.002617801047120418,0.17256385848008873
7,1.4473684210526314,0.04495,2.6509186351706036,0.027063279706340003,0.0026246719160104982,0.16733044599174737
8,1.4473684210526314,0.045,2.8729281767955803,0.018667834896925365,0.002762430939226518,0.20539022238729737
9,1.4473684210526314,0.045025,2.834834834834835,0.02105091660291311,0.0030030030030030025,0.21237475098861208
10,1.4473684210526314,0.051025,2.832844574780059,0.023402909550917145,0.002932551319648094,0.21071670265218645
1,1.6842105263157894,0.046625,2.830379746835443,0.01590092898289624,0.0025316455696202528,0.21843496901489237
2,1.6842105263157894,0.038475,2.8324022346368714,0.026153402796056584,0.0027932960893854745,0.21597121903617417
3,1.6842105263157894,0.038,2.684350132625995,0.02721583234569291,0.0026525198938992037,0.16363447235658193
4,1.6842105263157894,0.03855,2.7669172932330826,0.023858298963108444,0.0025062656641604,0.17799248325564118
5,1.6842105263157894,0.04505,2.983818770226537,0.019681424380832997,0.003236245954692557,0.268877210225281
6,1.6842105263157894,0.043525,2.9548022598870056,0.021105734325053006,0.0028248587570621464,0.2530606847713665
7,1.6842105263157894,0.041975,2.809116809116809,0.0221928808748293,0.002849002849002849,0.20992876892581888
8,1.6842105263157894,0.0432,2.7522935779816513,0.01986737151705914,0.0030581039755351674,0.18559346508636088
9,1.6842105263157894,0.04195,2.7704918032786887,0.019329891607008157,0.00273224043715847,0.20951728598178218
10,1.6842105263157894,0.047475,2.792270531400966,0.019514346198708486,0.0024154589371980675,0.19142657771643282
1,1.9210526315789473,0.03935,2.6861313868613137,0.020152468224662615,0.0024330900243309007,0.17928107271172955
2,1.9210526315789473,0.037675,2.6243654822335025,0.028400938784472595,0.002538071065989847,0.1690073187314414
3,1.9210526315789473,0.041,2.775757575757576,0.020420567151236572,0.0030303030303030294,0.20228049728049716
4,1.9210526315789473,0.042375,2.9226361031518624,0.017743421791329705,0.0028653295128939823,0.2249711191024838
5,1.9210526315789473,0.045275,3.0236220472440944,0.01616252627496692,0.0026246719160104974,0.2526202212017893
6,1.9210526315789473,0.039825,2.735135135135135,0.022759729506813278,0.002702702702702703,0.18987654981714377
7,1.9210526315789473,0.04195,2.8365650969529086,0.021872725355391136,0.002770083102493075,0.2331971185030868
8,1.9210526315789473,0.0363,2.6407766990291264,0.023758262740305798,0.002427184466019417,0.15344968915005963
9,1.9210526315789473,0.040625,2.8054794520547945,0.015506618744476775,0.0027397260273972603,0.20388670488197702
10,1.9210526315789473,0.041975,2.876923076923077,0.014349270549413661,0.002564102564102564,0.21756226229910436
1,2.1578947368421053,0.044525,2.9634146341463414,0.01883075684755834,0.0030487804878048777,0.23125439451917326
2,2.1578947368421053,0.04145,2.825974025974026,0.020144245984650682,0.0025974025974025974,0.2413418422129053
3,2.1578947368421053,0.0393,2.816,0.02187755492155429,0.002666666666666666,0.23453331556266388
4,2.1578947368421053,0.041825,2.9401709401709404,0.01877113865652548,0.002849002849002849,0.26300645423452435
5,2.1578947368421053,0.04295,2.9157303370786516,0.016254225665042116,0.0028089887640449424,0.21708716251585106
6,2.1578947368421053,0.03965,2.6949602122015914,0.027421562541151683,0.0026525198938992037,0.20261138701357856
7,2.1578947368421053,0.038,2.803519061583578,0.018987493785566023,0.002932551319648094,0.20826920228679757
8,2.1578947368421053,0.042575,2.967741935483871,0.018198814054467195,0.0029325513196480934,0.2418852591223928
9,2.1578947368421053,0.0446,2.9601990049751246,0.01629685115569286,0.002487562189054726,0.22118168734869717
10,2.1578947368421053,0.042825,2.832,0.01876755888804461,0.0026666666666666666,0.22537598425196836
1,2.394736842105263,0.03865,2.850152905198777,0.019054455609867328,0.003058103975535168,0.2176949961353629
2,2.394736842105263,0.0414,2.8493150684931505,0.018956386079673756,0.00273972602739726,0.22196415291594354
3,2.394736842105263,0.0368,2.806060606060606,0.021630082424062717,0.0030303030303030294,0.20187936440702883
4,2.394736842105263,0.038025,2.7842105263157895,0.01571063395809956,0.0026315789473684206,0.19303258145363417
5,2.394736842105263,0.035225,2.7443181818181817,0.019666305916305915,0.002840909090909091,0.1780876617073472
6,2.394736842105263,0.04095,2.7645429362880884,0.023975922310786008,0.002770083102493075,0.20318888518334505
7,2.394736842105263,0.041125,2.967391304347826,0.01777825575531348,0.0027173913043478256,0.22423009905792834
8,2.394736842105263,0.03665,2.8746518105849583,0.01866870213328636,0.0027855153203342605,0.22335642763576422
9,2.394736842105263,0.0387,2.9709302325581395,0.014293862325486234,0.0029069767441860456,0.2714607911172797
10,2.394736842105263,0.03745,2.7708333333333335,0.017342148761272037,0.0026041666666666657,0.19249888871745138
1,2.631578947368421,0.03785,2.802030456852792,0.020718552077707123,0.0025380710659898475,0.2013983862622533
2,2.631578947368421,0.037075,2.7537688442211055,0.013757021373820727,0.0025125628140703514,0.1922551158385501
3,2.631578947368421,0.026775,2.635235732009926,0.023280009671757793,0.0024813895781637717,0.13612561744989596
4,2.631578947368421,0.037575,2.7768115942028984,0.027423229872622166,0.0028985507246376808,0.20826671179283837
5,2.631578947368421,0.03865,2.9486404833836857,0.01694792533643211,0.0030211480362537764,0.23720992815852698
6,2.631578947368421,0.02725,2.5161290322580645,0.020372386688181213,0.0024813895781637717,0.10097972324819365
7,2.631578947368421,0.04075,2.8206686930091185,0.021051471773466796,0.0030395136778115493,0.21505496333306348
8,2.631578947368421,0.032625,2.641860465116279,0.03109940121459354,0.002325581395348837,0.1696618835559953
9,2.631578947368421,0.0433,2.862619808306709,0.02054478519915172,0.0031948881789137375,0.21093274277393576
10,2.631578947368421,0.0431,2.8984771573604062,0.016594367820364088,0.0025380710659898475,0.23227110359090064
1,2.8684210526315788,0.04235,3.014925373134328,0.017495840643575025,0.002985074626865672,0.2723833335569679
2,2.8684210526315788,0.0308,2.675603217158177,0.027265609028519024,0.0026809651474530827,0.16646090189124307
3,2.8684210526315788,0.0412,2.939297124600639,0.018460231952727564,0.0031948881789137375,0.22199866940583857
4,2.8684210526315788,0.036275,2.7945205479452055,0.01893320461190947,0.0027397260273972603,0.2151161179710093
5,2.8684210526315788,0.035675,2.8688524590163933,0.01833562425298333,0.00273224043715847,0.2039585393355885
6,2.8684210526315788,0.03435,2.7257142857142855,0.026517330773827164,0.002857142857142857,0.18691665414324782
7,2.8684210526315788,0.0409,2.907103825136612,0.016970820182138392,0.0027322404371584695,0.26251917104442973
8,2.8684210526315788,0.0283,2.5714285714285716,0.02286786609270932,0.002421307506053268,0.13412068408585712
9,2.8684210526315788,0.03105,2.6799007444168734,0.022440626948855655,0.0024813895781637717,0.17540141319718736
10,2.8684210526315788,0.04235,2.8702702702702703,0.020102963514946545,0.0027027027027027024,0.2286942942942942
1,3.1052631578947367,0.035125,2.7098591549295774,0.02241370954234875,0.002816901408450704,0.1587473559304545
2,3.1052631578947367,0.0384,3.011904761904762,0.0162545910311573,0.002976190476190476,0.265620024605587
3,3.1052631578947367,0.037075,2.8111888111888113,0.01779865607045015,0.002331002331002331,0.2193038879932843
4,3.1052631578947367,0.03635,2.707070707070707,0.022328859500355996,0.002525252525252526,0.16940925151117348
5,3.1052631578947367,0.03545,2.81767955801105,0.018940677029396207,0.002762430939226518,0.21643929416507213
6,3.1052631578947367,0.033675,2.625,0.024916796166796165,0.002840909090909091,0.17354867246129005
7,3.1052631578947367,0.035075,2.56231884057971,0.013578665613291395,0.0028985507246376803,0.1437457939975102
8,3.1052631578947367,0.037275,2.931880108991826,0.017834306562047916,0.002724795640326975,0.23937076367344487
9,3.1052631578947367,0.03085,2.537142857142857,0.022373424421641,0.002857142857142857,0.12864417408754544
10,3.1052631578947367,0.0363,2.7588235294117647,0.02505875576391734,0.002941176470588235,0.1796812807520012
1,3.3421052631578947,0.038275,2.8719512195121952,0.021275855804654735,0.0030487804878048777,0.22871379741648876
2,3.3421052631578947,0.038575,2.891304347826087,0.018345193218372725,0.0027173913043478256,0.2061183168919741
3,3.3421052631578947,0.031925,2.6338461538461537,0.026576756958593913,0.003076923076923077,0.14438841405508077
4,3.3421052631578947,0.0342,2.640826873385013,0.017931157755232935,0.002583979328165374,0.16585807449594822
5,3.3421052631578947,0.032525,2.6751918158567776,0.01844352050730791,0.0025575447570332483,0.16646883873659277
6,3.3421052631578947,0.035275,2.7542857142857144,0.02204337045558268,0.002857142857142857,0.16939163059163048
7,3.3421052631578947,0.036425,2.7455919395465993,0.020409270783916085,0.0025188916876574307,0.1777124731784681
8,3.3421052631578947,0.03325,2.7506702412868633,0.019367395413959033,0.0026809651474530836,0.20817725044631616
9,3.3421052631578947,0.033475,2.7563805104408354,0.02258917722145479,0.002320185614849187,0.17019376398769792
10,3.3421052631578947,0.032475,2.6373056994818653,0.025526510945876234,0.0025906735751295338,0.16931283533927804
1,3.5789473684210527,0.03635,2.8348909657320873,0.022608314046035614,0.0031152647975077876,0.20276387657750505
2,3.5789473684210527,0.03625,2.7871720116618075,0.02113953865452427,0.0029154518950437313,0.2136649284161381
3,3.5789473684210527,0.035875,2.776470588235294,0.02532514602950674,0.002941176470588235,0.18781217750258
4,3.5789473684210527,0.041625,2.9971830985915493,0.01967480367552862,0.0028169014084507044,0.27234183243502547
5,3.5789473684210527,0.038725,2.779840848806366,0.02259819026656884,0.0026525198938992037,0.19103178585937208
6,3.5789473684210527,0.037025,2.8743169398907105,0.019936059897883388,0.00273224043715847,0.20770100447884507
7,3.5789473684210527,0.0364,2.7634069400630916,0.02408847258905159,0.003154574132492113,0.19964718578781346
8,3.5789473684210527,0.02805,2.6210526315789475,0.024857217802642027,0.002631578947368421,0.12200123965828558
9,3.5789473684210527,0.034775,2.733153638814016,0.017754497644051244,0.0026954177897574117,0.20337200737062264
10,3.5789473684210527,0.0326,2.6972010178117047,0.024380445839138835,0.0025445292620865133,0.15400591614956463
1,3.81578947368421,0.038975,2.713846153846154,0.02409974156104186,0.003076923076923076,0.17237306283460135
2,3.81578947368421,0.034375,2.7374005305039786,0.019791598472449535,0.0026525198938992037,0.1857259236569582
3,3.81578947368421,0.028575,2.507177033492823,0.024605959325289133,0.0023923444976076554,0.1370530757272929
4,3.81578947368421,0.031325,2.61624649859944,0.02368948212296471,0.0028011204481792717,0.14030704651338444
5,3.81578947368421,0.04155,2.964769647696477,0.014823279970745448,0.0027100271002710027,0.22587737011320105
6,3.81578947368421,0.029325,2.761904761904762,0.02136416204648047,0.0026455026455026445,0.20727657930038876
7,3.81578947368421,0.03535,2.8258426966292136,0.020095032200439348,0.0028089887640449433,0.1953737109958117
8,3.81578947368421,0.03835,2.848,0.017593324826884204,0.0026666666666666666,0.217286422939068
9,3.81578947368421,0.035425,2.778409090909091,0.02035677285677286,0.0028409090909090906,0.1858570185337489
10,3.81578947368421,0.031325,2.6473429951690823,0.02617498600034319,0.0024154589371980675,0.15311324447865735
1,4.052631578947368,0.032775,2.702439024390244,0.018316682627490755,0.0024390243902439016,0.16102685390490265
2,4.052631578947368,0.039175,3.0584795321637426,0.01582579010922164,0.0029239766081871343,0.26856354835078244
3,4.052631578947368,0.029975,2.5983827493261455,0.017318074105925004,0.0026954177897574125,0.14803535673396928
4,4.052631578947368,0.037075,2.7493112947658402,0.018474683123497523,0.002754820936639118,0.20528851242530088
5,4.052631578947368,0.0306,2.6512968299711814,0.025684845438552425,0.002881844380403458,0.1615494016070385
6,4.052631578947368,0.0368,2.873900293255132,0.02090940131275306,0.002932551319648094,0.22292527528432707
7,4.052631578947368,0.029075,2.5294117647058822,0.027853302446197634,0.0026737967914438492,0.11523635270174616
8,4.052631578947368,0.0349,2.8011204481792715,0.018687626973562,0.0028011204481792717,0.1909926212372855
9,4.052631578947368,0.0332,2.5721649484536084,0.026983681358261343,0.002577319587628865,0.14525341551310492
10,4.052631578947368,0.04015,2.9971014492753625,0.01728360851779683,0.002898550724637681,0.25173464253172134
1,4.289473684210526,0.0321,2.744186046511628,0.022712032448145226,0.002583979328165374,0.20529903007152744
2,4.289473684210526,0.031975,2.7293447293447293,0.020644926547505348,0.002849002849002849,0.16529845997199955
3,4.289473684210526,0.021225,2.5217391304347827,0.02715291386111117,0.0027173913043478256,0.12418725123811274
4,4.289473684210526,0.034375,2.755434782608696,0.023401747779346574,0.002717391304347825,0.18483805445761964
5,4.289473684210526,0.0378,2.8188976377952755,0.018613009785386325,0.0026246719160104974,0.20704761695193313
6,4.289473684210526,0.0377,2.88953488372093,0.01927323648466206,0.002906976744186046,0.25023918844041343
7,4.289473684210526,0.035025,2.6739130434782608,0.027221980536064217,0.0027173913043478256,0.18827952292526143
8,4.289473684210526,0.034825,2.7858942065491186,0.018772844666413522,0.0025188916876574307,0.20860325456799
9,4.289473684210526,0.03325,2.821529745042493,0.018668929433801957,0.0028328611898017,0.22280574320234378
10,4.289473684210526,0.0329,2.7058823529411766,0.028641910950168954,0.002801120448179272,0.14600838227492147
1,4.526315789473684,0.03375,2.6844919786096257,0.022821116527716175,0.0026737967914438492,0.17830882352941177
2,4.526315789473684,0.0354,2.9285714285714284,0.015566308747111327,0.002976190476190476,0.24380080612383168
3,4.526315789473684,0.03575,2.8958333333333335,0.019159864427979713,0.0026041666666666657,0.22026827711159555
4,4.526315789473684,0.02875,2.6777408637873754,0.019438141905280426,0.003322259136212624,0.17283437922972808
5,4.526315789473684,0.03325,2.8079096045197742,0.018700821413346023,0.0028248587570621464,0.18866002806680762
6,4.526315789473684,0.031225,2.7134502923976607,0.022438355390517584,0.002923976608187134,0.18008096234640852
7,4.526315789473684,0.032875,2.600550964187328,0.024875686075461804,0.002754820936639118,0.15772428668105562
8,4.526315789473684,0.0368,2.7523364485981308,0.013084250870629024,0.00233644859813084,0.1912373535083815
9,4.526315789473684,0.037675,2.790190735694823,0.021349596848954048,0.002724795640326975,0.16372780802519998
10,4.526315789473684,0.03185,2.786127167630058,0.021468328881667522,0.002890173410404624,0.2122951601518534
1,4.763157894736842,0.02975,2.553935860058309,0.02787171211688725,0.002915451895043731,0.1513927310054457
2,4.763157894736842,0.036075,2.7354497354497354,0.02041832654451877,0.0026455026455026445,0.17377218852561233
3,4.763157894736842,0.032575,2.7544303797468355,0.018525278278764844,0.0025316455696202528,0.17717902350813752
4,4.763157894736842,0.03185,2.6966966966966965,0.028162075372063354,0.0030030030030030025,0.16773199531820215
5,4.763157894736842,0.039325,2.8736263736263736,0.01792084526891156,0.002747252747252748,0.20929672662161491
6,4.763157894736842,0.0376,2.7892156862745097,0.0180320497257617,0.0024509803921568623,0.20322746745757114
7,4.763157894736842,0.0339,2.765957446808511,0.020603790559027103,0.002364066193853428,0.19192376714279094
8,4.763157894736842,0.033125,2.7150837988826817,0.02232693968931493,0.002793296089385474,0.17650526139717293
9,4.763157894736842,0.03385,2.768328445747801,0.021522830189351323,0.002932551319648094,0.21511120245143361
10,4.763157894736842,0.039475,2.8547008547008548,0.016313649207632022,0.002849002849002849,0.2137282924427777
1,5.0,0.0355,2.747311827956989,0.021265718374665427,0.002688172043010753,0.1878663293274298
2,5.0,0.034725,2.8022284122562673,0.02029660465982195,0.002785515320334261,0.18714533482494797
3,5.0,0.03425,2.673015873015873,0.019403575651922248,0.0031746031746031746,0.17594678729510183
4,5.0,0.03575,2.7711598746081503,0.024251740998896848,0.003134796238244514,0.1865885239198582
5,5.0,0.033225,2.864406779661017,0.019908097516190378,0.0028248587570621464,0.2343234785546324
6,5.0,0.04065,2.996923076923077,0.015667398763373995,0.003076923076923076,0.24897531798909744
7,5.0,0.0398,3.03680981595092,0.01470330169716673,0.003067484662576686,0.2735646714880506
8,5.0,0.03665,2.6602409638554216,0.023440021094308105,0.0024096385542168677,0.1684771518506458
9,5.0,0.034575,2.7607361963190185,0.02365016109392387,0.0030674846625766863,0.19965692605747493
10,5.0,0.03765,2.954177897574124,0.018243317276911385,0.002695417789757412,0.2519730283978607
