run,tumor_prob,min_entropy,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
1,0.1,0.49006991484761886,2.215202369200395,0.033276905936651266,0.0009871668311944714,0.026488976637051635
2,0.1,0.4477715658544606,2.192102454642476,0.027483537939310434,0.0010672358591248664,0.027748132337246503
3,0.1,0.467866490273334,2.165692007797271,0.018525665026387094,0.000974658869395711,0.018518518518518517
4,0.1,0.5008812782724745,2.1924603174603177,0.035837261232654495,0.0009920634920634918,0.0216600529100529
5,0.1,0.47767779394892773,2.1621073961499495,0.03118204307692218,0.0010131712259371832,0.028031070584262057
6,0.1,0.45502219173067915,2.21010101010101,0.027606414600188228,0.0010101010101010103,0.029966329966329933
7,0.1,0.4845927284335084,2.2072434607645874,0.03298032681682792,0.001006036217303823,0.026827632461435255
8,0.1,0.4818359501372157,2.1544477028347995,0.02735814130333901,0.0009775171065493644,0.022482893450635373
9,0.1,0.4954992010356317,2.139387539598733,0.0329935571260686,0.001055966209081309,0.027279127067933798
10,0.1,0.48321586415979095,2.168591224018476,0.03357423365040939,0.0011547344110854497,0.026173979984603527
1,0.1988888888888889,0.741414710818534,2.1717791411042944,0.038562114698613224,0.0010224948875255623,0.02999318336741646
2,0.1988888888888889,0.706911258539644,2.151603498542274,0.030074818028141503,0.0009718172983479105,0.017978620019436353
3,0.1988888888888889,0.6994944765754662,2.1554054054054053,0.00913035657119375,0.0011261261261261257,0.024024024024024013
4,0.1988888888888889,0.734555945133285,2.115035317860747,0.005847809581718096,0.0010090817356205848,0.020686175580221993
5,0.1988888888888889,0.7222838240631668,2.2061446977205152,0.016994251496934905,0.0009910802775024775,0.028080607862570175
6,0.1988888888888889,0.7448027019584379,2.1868743047830925,0.0338437555581552,0.0011123470522803112,0.02187615869484612
7,0.1988888888888889,0.7222838240631668,2.194472876151484,0.03199303398080183,0.0010235414534288637,0.02302968270214942
8,0.1988888888888889,0.7160172034803096,2.16414686825054,0.016271835494297695,0.0010799136069114472,0.02897768178545713
9,0.1988888888888889,0.727585632148707,2.199789695057834,0.023408373509788416,0.001051524710830704,0.029968454258675045
10,0.1988888888888889,0.7310848214174631,2.192468619246862,0.015690068870696138,0.00104602510460251,0.033124128312412786
1,0.2977777777777778,0.8821591901153718,2.168898043254377,0.03176894333005909,0.0010298661174047371,0.01802265705458291
2,0.2977777777777778,0.8623633523568297,2.214360041623309,0.03407224608171955,0.0010405827263267426,0.032258064516129
3,0.2977777777777778,0.8896089938021996,2.148068669527897,0.02322208480002244,0.001072961373390558,0.02217453505007154
4,0.2977777777777778,0.8557900188260464,2.1739130434782608,0.01553669456365565,0.0010604453870625664,0.033757511488158316
5,0.2977777777777778,0.900785482162309,2.1889927310488058,0.012220825868992202,0.0010384215991692627,0.029248875043267536
6,0.2977777777777778,0.868192000667293,2.1682439537329126,0.03850819137808056,0.0010515247108307038,0.017700665965650203
7,0.2977777777777778,0.8587990191515968,2.188340807174888,0.03686074734343989,0.0011210762331838563,0.025411061285500733
8,0.2977777777777778,0.8957850629604209,2.180672268907563,0.0154016582558642,0.0010504201680672268,0.022759103641456578
9,0.2977777777777778,0.8848502198362492,2.156779661016949,0.021045117602817194,0.001059322033898305,0.021539548022598862
10,0.2977777777777778,0.8587990191515968,2.1422594142259412,0.026612574675976428,0.00104602510460251,0.022663877266387716
1,0.3966666666666666,0.9472800409792324,2.1551724137931036,0.018553154180876087,0.0010775862068965517,0.030531609195402275
2,0.3966666666666666,0.935725571223607,2.2214912280701755,0.035396267414292686,0.0010964912280701754,0.03362573099415201
3,0.3966666666666666,0.9451366084366042,2.1535181236673773,0.012580964338319503,0.001066098081023454,0.025408670931058974
4,0.3966666666666666,0.960443590533657,2.140562248995984,0.01441485992908471,0.001004016064257028,0.019076305220883535
5,0.3966666666666666,0.9547612256584406,2.151029748283753,0.03720174937197009,0.0011441647597254,0.0251716247139588
6,0.3966666666666666,0.9418380762987821,2.1411042944785277,0.03615078182075911,0.001022494887525562,0.01823449216087253
7,0.3966666666666666,0.9399621679753023,2.169230769230769,0.028998922790086066,0.001098901098901099,0.0217948717948718
8,0.3966666666666666,0.9651660162246395,2.1376433785192908,0.030528121503899042,0.0010427528675703854,0.027980535279805326
9,0.3966666666666666,0.9436829690980326,2.142857142857143,0.023685917627382994,0.0009920634920634918,0.02430555555555554
10,0.3966666666666666,0.9454969300292513,2.126530612244898,0.011105987730572893,0.0010204081632653062,0.019727891156462583
1,0.4955555555555555,0.9979435371791368,2.1241970021413277,0.00705066071130761,0.0010706638115631688,0.021591720199857247
2,0.4955555555555555,0.9974354037451005,2.1403141361256544,0.014990420209872568,0.0010471204188481676,0.02233856893542757
3,0.4955555555555555,0.995870813822498,2.1124324324324326,0.010320589193828628,0.0010810810810810807,0.018378378378378385
4,0.4955555555555555,0.9988943230737919,2.139130434782609,0.011324415064580762,0.00108695652173913,0.027173913043478246
5,0.4955555555555555,0.9869419092340701,2.155763239875389,0.01590121643220538,0.0010384215991692627,0.022672204915195556
6,0.4955555555555555,0.9983344156608782,2.1356673960612693,0.006544024453535352,0.0010940919037199124,0.017140773158278638
7,0.4955555555555555,0.9881278013422394,2.1282316442606,0.015425221054604131,0.0010341261633919337,0.0193036883833161
8,0.4955555555555555,0.98623867835401,2.171673819742489,0.011861022089053057,0.001072961373390558,0.025393419170243188
9,0.4955555555555555,0.9993398600671847,2.1248630887185103,0.006425488718459782,0.001095290251916758,0.02300109529025191
10,0.4955555555555555,0.9972004445021532,2.0851926977687625,0.003742542514437819,0.0010141987829614602,0.019100743745774175
1,0.5944444444444444,0.9695813856753605,2.1728922091782286,0.012300387163843752,0.0010672358591248664,0.02525791533262183
2,0.5944444444444444,0.9731944746592572,2.1563517915309447,0.020462037202415122,0.0010857763300760044,0.022801302931596084
3,0.5944444444444444,0.9679614792662248,2.1519756838905777,0.00474247715331277,0.0010131712259371832,0.024991556906450503
4,0.5944444444444444,0.9721859295456665,2.1351636747624076,0.017019772236982023,0.001055966209081309,0.021823301654347056
5,0.5944444444444444,0.9753943766464632,2.1129943502824857,0.028542962453349058,0.0011299435028248586,0.015630885122410555
6,0.5944444444444444,0.9765751543912371,2.156043956043956,0.011514227377619882,0.001098901098901099,0.01996336996336997
7,0.5944444444444444,0.9812128174325261,2.1354051054384016,0.029470148865753058,0.0011098779134295226,0.0220125786163522
8,0.5944444444444444,0.9786262432925158,2.1076604554865424,0.004928640578187829,0.0010351966873706003,0.018288474810213947
9,0.5944444444444444,0.9716745341346982,2.142695356738392,0.008017809082953064,0.001132502831257078,0.021140052850132124
10,0.5944444444444444,0.969847195970057,2.1674780915287246,0.019693013589115387,0.0009737098344693278,0.027101590392729604
1,0.6933333333333332,0.8794342198895391,2.171171171171171,0.006407373103327458,0.001126126126126126,0.027777777777777755
2,0.6933333333333332,0.9061336123448074,2.1028446389496716,0.012302442313515056,0.0010940919037199124,0.019511305616338445
3,0.6933333333333332,0.8957850629604209,2.1831896551724137,0.009992281467834095,0.0010775862068965517,0.02442528735632183
4,0.6933333333333332,0.9017697037323686,2.147577092511013,0.046079127250428974,0.0011013215859030834,0.02257709251101321
5,0.6933333333333332,0.879981936070314,2.1725997842502696,0.047494259761239666,0.0010787486515641852,0.02660913340524989
6,0.6933333333333332,0.8832396668670762,2.1003201707577372,0.0343282591948547,0.0010672358591248664,0.014585556741373185
7,0.6933333333333332,0.8942590620748089,2.1330517423442448,0.010762050594078296,0.0010559662090813089,0.027103132699753587
8,0.6933333333333332,0.8972990999827659,2.1168032786885247,0.04341049938156679,0.001024590163934426,0.01929644808743169
9,0.6933333333333332,0.8810732829142729,2.119695321001088,0.006310798331077692,0.0010881392818280736,0.016322089227421118
10,0.6933333333333332,0.8755619658523943,2.1219272369714846,0.014377253804519478,0.0009832841691248767,0.020157325467059974
1,0.7922222222222222,0.7284630705597186,2.15005359056806,0.038609402492749106,0.0010718113612004287,0.02215076813147552
2,0.7922222222222222,0.7422642834947335,2.129166666666667,0.014081853197521496,0.0010416666666666667,0.012326388888888894
3,0.7922222222222222,0.7240581943282371,2.131212723658052,0.011988365933317263,0.00099403578528827,0.020543406229290913
4,0.7922222222222222,0.7187136625605826,2.156149732620321,0.022847072613762284,0.00106951871657754,0.024420677361853816
5,0.7922222222222222,0.7293387463331158,2.1555783009211873,0.03339605590197064,0.0010235414534288637,0.015011941316956679
6,0.7922222222222222,0.734555945133285,2.1103896103896105,0.004722200797786635,0.001082251082251082,0.019119769119769123
7,0.7922222222222222,0.7336907854720942,2.1503759398496243,0.037161820634983224,0.0010741138560687433,0.02685284640171857
8,0.7922222222222222,0.7388556558303616,2.147835269271383,0.0263583940360051,0.001055966209081309,0.02815909890883489
9,0.7922222222222222,0.7379991828611725,2.189520624303233,0.007230497975427535,0.001114827201783723,0.031029357116313605
10,0.7922222222222222,0.7258254558814109,2.1644120707596253,0.00857235856737402,0.0010405827263267426,0.02792230315643425
1,0.8911111111111111,0.5258213854314913,2.131868131868132,0.03262317469584011,0.001098901098901099,0.018681318681318688
2,0.8911111111111111,0.4692775519623674,2.114871794871795,0.004488627253758065,0.0010256410256410256,0.019145299145299142
3,0.8911111111111111,0.48045297485333854,2.1298129812981297,0.00411211727664614,0.0011001100110010998,0.020902090209020903
4,0.8911111111111111,0.496849119687793,2.154327424400417,0.0395698829984118,0.0010427528675703854,0.023809523809523794
5,0.8911111111111111,0.5283882882882044,2.1625282167042887,0.045109701860442865,0.0011286681715575618,0.028592927012791546
6,0.8911111111111111,0.5088673339797639,2.1426978818283167,0.0028447695430632034,0.001114827201783723,0.02378298030471943
7,0.8911111111111111,0.5035548233282332,2.1373134328358208,0.04113993078543205,0.00099502487562189,0.01791044776119403
8,0.8911111111111111,0.48733735329008293,2.1354838709677417,0.026572275318467713,0.001075268817204301,0.018279569892473126
9,0.8911111111111111,0.4818359501372157,2.150253807106599,0.03377709745463225,0.0010152284263959391,0.019966159052453466
10,0.8911111111111111,0.5167508353395991,2.1322803553800593,0.01767509623847111,0.0009871668311944714,0.01661730832510695
1,0.99,0.08232274765050408,2.1893860561914673,0.032640108839817196,0.0010405827263267426,0.027748872702046453
2,0.99,0.08232274765050408,2.282765737874097,0.026287664971099835,0.0010319917440660472,0.023735810113519076
3,0.99,0.06727103621422717,2.189239332096475,0.025881224132843578,0.0009276437847866416,0.020253555967841674
4,0.99,0.06727103621422717,2.1716566866267466,0.024502082747591688,0.0009980039920159678,0.02644710578842313
5,0.99,0.06727103621422717,2.161008729388943,0.009329442403569853,0.0009699321047526673,0.022146783058519224
6,0.99,0.06415979745227254,2.122153209109731,0.034293785227745725,0.0010351966873706003,0.01863354037267081
7,0.99,0.09666407299459491,2.16023166023166,0.02844076400968168,0.0009652509652509653,0.020431145431145426
8,0.99,0.08524302584619817,2.172348484848485,0.009439677561063477,0.0009469696969696969,0.025252525252525228
9,0.99,0.07937426925419028,2.171664943123061,0.02658039153066656,0.001034126163391934,0.02223371251292656
10,0.99,0.06415979745227254,2.1603128054740957,0.024237433337018142,0.0009775171065493644,0.023297491039426514
